종목명,			종목번호,		보유증권사,	매수가격,		수량
T,				T,			NH증권(미),		35.38,		13
AAPL,			AAPL,		NH증권(미),		111.63,		3
SRET,			SRET,		NH증권(미),		37.49,		7
INTC,			INTC,		NH증권(미),		65.11,		8
ADAM,			ADAM,		NH증권(미),		12.57,		3
QCOM,			QCOM,		NH증권(미),		87.86,		4
WBD,			WBD,		NH증권(미),		24.07,		3
TQQQ,			TQQQ,		NH증권(미),		55.25,		1323
SPYM,			SPYM,		NH증권(미),		80.61,		673
QQQM,			QQQM,		NH증권(미),		256.32,		39
AAPL,			AAPL,		NH증권(미)소수점,		144.48,		0.779893
NVDA,			NVDA,		NH증권(미)소수점,		101.23,		0.91335
BALI,			BALI,		KB증권(미),		30.076,		5
DGRO,			DGRO,		KB증권(미),		57.49,		3
JEPI,			JEPI,		KB증권(미),		55.0999,		224
SPYM,			SPYM,		KB증권(미),		59.0415,	758
SCHD,			SCHD,		KB증권(미),		23.4869,	5990
AAPL,			AAPL,		KB증권(미),		195.82,		20
QQQM,			QQQM,		KB증권(미),		210.4369,	13
MSTR,			MSTR, 	KB증권(미)소수점,		442.8229,	0.471701
SOXX,			SOXX, 	KB증권(미)소수점,		305.1424,	0.291110
QLD,			QLD,		삼성증권(미),		44.5772,	41
SPYG,			SPYG,		삼성증권(미),		65.68,		4
GOOG,			GOOG,		삼성증권(미),		135.93,		20
TCPC,			TCPC,		삼성증권(미),		11.92,		1
TQQQ,			TQQQ,		삼성증권(미),		40.5770,	144
NVDA,			NVDA,		삼성증권(미)소수점,		186.9387,	0.049214
IVV,			IVV,		대신증권(미),		447.24,		13
O,				O,			대신증권(미),		56.3002,	5
O,				O,			대신증권(미)소수점,		56.9187,	3.656074
SPYM,			SPYM,		대신증권(미),		48.13,		123
VTI,			VTI,		대신증권(미),		165.52,		2
GOOG,			GOOG,		한투미니스탁(미)소수점,	141.56,		1.37998
NDAQ,			NDAQ,		한투미니스탁(미)소수점,	65.16,		1.17417
TSLA,			TSLA,		한투미니스탁(미)소수점,	297.03,		0.019773
BRK-B,			BRK-B,		삼성증권(미)소수점,		508.4809,	0.107595
TSLA,			TSLA,		카카오페이증권(미)소수점,	223.33,		0.0162


